pair_id	ad_id	ad_file	ad_input_path	ad_bwas_file	ad_sample_size	trait_id	trait_file	trait_category	trait_input_path	trait_bwas_file	trait_sample_size	reference_panel	output_dir	include
ADvsHC__T2D	ADvsHC	AlzDisease_LMM/BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	3542	T2D	outputs/batch/derived_inputs/sstat_FS_All_moda_total_T2D.Probe.linear	vascular_metabolic	outputs/batch/derived_inputs	sstat_FS_All_moda_total_T2D.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/ADvsHC__T2D	true
ADvsHC__hyperCholesterolemia	ADvsHC	AlzDisease_LMM/BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	3542	hyperCholesterolemia	outputs/batch/derived_inputs/sstat_FS_All_moda_total_hyperCholesterolemia.Probe.linear	vascular_metabolic	outputs/batch/derived_inputs	sstat_FS_All_moda_total_hyperCholesterolemia.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/ADvsHC__hyperCholesterolemia	true
ADvsHC__hyperTension	ADvsHC	AlzDisease_LMM/BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	3542	hyperTension	outputs/batch/derived_inputs/sstat_FS_All_moda_total_hyperTension.Probe.linear	vascular_metabolic	outputs/batch/derived_inputs	sstat_FS_All_moda_total_hyperTension.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/ADvsHC__hyperTension	true
ADvsHC__ldl_direct	ADvsHC	AlzDisease_LMM/BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	3542	ldl_direct	outputs/batch/derived_inputs/sstat_FS_All_moda_total_ldl_direct.Probe.linear	vascular_metabolic	outputs/batch/derived_inputs	sstat_FS_All_moda_total_ldl_direct.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/ADvsHC__ldl_direct	true
ADvsHC__majorDepression	ADvsHC	AlzDisease_LMM/BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	3542	majorDepression	outputs/batch/derived_inputs/sstat_FS_All_moda_total_majorDepression.Probe.linear	psychiatric	outputs/batch/derived_inputs	sstat_FS_All_moda_total_majorDepression.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/ADvsHC__majorDepression	true
ADvsHC__smoking_ever	ADvsHC	AlzDisease_LMM/BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	3542	smoking_ever	outputs/batch/derived_inputs/sstat_FS_All_moda_total_smoking_ever.Probe.linear	lifestyle	outputs/batch/derived_inputs	sstat_FS_All_moda_total_smoking_ever.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/ADvsHC__smoking_ever	true
MCIvsHC__T2D	MCIvsHC	AlzDisease_LMM/BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	3976	T2D	outputs/batch/derived_inputs/sstat_FS_All_moda_total_T2D.Probe.linear	vascular_metabolic	outputs/batch/derived_inputs	sstat_FS_All_moda_total_T2D.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/MCIvsHC__T2D	true
MCIvsHC__hyperCholesterolemia	MCIvsHC	AlzDisease_LMM/BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	3976	hyperCholesterolemia	outputs/batch/derived_inputs/sstat_FS_All_moda_total_hyperCholesterolemia.Probe.linear	vascular_metabolic	outputs/batch/derived_inputs	sstat_FS_All_moda_total_hyperCholesterolemia.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/MCIvsHC__hyperCholesterolemia	true
MCIvsHC__hyperTension	MCIvsHC	AlzDisease_LMM/BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	3976	hyperTension	outputs/batch/derived_inputs/sstat_FS_All_moda_total_hyperTension.Probe.linear	vascular_metabolic	outputs/batch/derived_inputs	sstat_FS_All_moda_total_hyperTension.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/MCIvsHC__hyperTension	true
MCIvsHC__ldl_direct	MCIvsHC	AlzDisease_LMM/BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	3976	ldl_direct	outputs/batch/derived_inputs/sstat_FS_All_moda_total_ldl_direct.Probe.linear	vascular_metabolic	outputs/batch/derived_inputs	sstat_FS_All_moda_total_ldl_direct.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/MCIvsHC__ldl_direct	true
MCIvsHC__majorDepression	MCIvsHC	AlzDisease_LMM/BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	3976	majorDepression	outputs/batch/derived_inputs/sstat_FS_All_moda_total_majorDepression.Probe.linear	psychiatric	outputs/batch/derived_inputs	sstat_FS_All_moda_total_majorDepression.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/MCIvsHC__majorDepression	true
MCIvsHC__smoking_ever	MCIvsHC	AlzDisease_LMM/BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	AlzDisease_LMM	BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	3976	smoking_ever	outputs/batch/derived_inputs/sstat_FS_All_moda_total_smoking_ever.Probe.linear	lifestyle	outputs/batch/derived_inputs	sstat_FS_All_moda_total_smoking_ever.Probe.linear	NMISS	AVERAGE	outputs/batch/brainMapR_pairs/MCIvsHC__smoking_ever	true
