trait_id	trait	category	raw_file	file_name	analysis_file	sample_size_source	has_Probe	has_Voxel	needs_Voxel_to_Probe	include	notes
Alcohol_merge_phenotype	Alcohol_merge_phenotype	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_Alcohol_merge_phenotype.linear	sstat_FS_All_moda_total_Alcohol_merge_phenotype.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_Alcohol_merge_phenotype.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
Alcohol_week_avg	Alcohol_week_avg	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_Alcohol_week_avg.linear	sstat_FS_All_moda_total_Alcohol_week_avg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_Alcohol_week_avg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
BD	BD	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_BD.linear	sstat_FS_All_moda_total_BD.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_BD.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
Menopause	Menopause	hormonal_sex_specific	SSTAT_BingJing/sstat_FS_All_moda_total_Menopause.linear	sstat_FS_All_moda_total_Menopause.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_Menopause.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
PTSD	PTSD	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_PTSD.linear	sstat_FS_All_moda_total_PTSD.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_PTSD.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
SCZ	SCZ	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_SCZ.linear	sstat_FS_All_moda_total_SCZ.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_SCZ.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
T2D	T2D	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_T2D.linear	sstat_FS_All_moda_total_T2D.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_T2D.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
age_completed_education	age_completed_education	social_socioeconomic	SSTAT_BingJing/sstat_FS_All_moda_total_age_completed_education.linear	sstat_FS_All_moda_total_age_completed_education.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_age_completed_education.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
alcohol_intake_frequency	alcohol_intake_frequency	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_alcohol_intake_frequency.linear	sstat_FS_All_moda_total_alcohol_intake_frequency.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_alcohol_intake_frequency.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
anxDis	anxDis	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_anxDis.linear	sstat_FS_All_moda_total_anxDis.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_anxDis.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
anxiety_broad_preimg	anxiety_broad_preimg	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_anxiety_broad_preimg.linear	sstat_FS_All_moda_total_anxiety_broad_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_anxiety_broad_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
bd_broad_preimg	bd_broad_preimg	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_bd_broad_preimg.linear	sstat_FS_All_moda_total_bd_broad_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_bd_broad_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
beer_cider_weekly_intake	beer_cider_weekly_intake	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_beer_cider_weekly_intake.linear	sstat_FS_All_moda_total_beer_cider_weekly_intake.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_beer_cider_weekly_intake.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
bmi	bmi	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_bmi.linear	sstat_FS_All_moda_total_bmi.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_bmi.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
daytime_napping	daytime_napping	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_daytime_napping.linear	sstat_FS_All_moda_total_daytime_napping.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_daytime_napping.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
diabetes_doctor_dx	diabetes_doctor_dx	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_diabetes_doctor_dx.linear	sstat_FS_All_moda_total_diabetes_doctor_dx.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_diabetes_doctor_dx.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
diabetes_preimg	diabetes_preimg	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_diabetes_preimg.linear	sstat_FS_All_moda_total_diabetes_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_diabetes_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
eid	eid	exclude_candidate	SSTAT_BingJing/sstat_FS_All_moda_total_eid.linear	sstat_FS_All_moda_total_eid.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_eid.Probe.linear	NMISS	false	true	true	false	excluded from default batch
ever_drinker	ever_drinker	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_ever_drinker.linear	sstat_FS_All_moda_total_ever_drinker.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_ever_drinker.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
fortified_wine_weekly_intake	fortified_wine_weekly_intake	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_fortified_wine_weekly_intake.linear	sstat_FS_All_moda_total_fortified_wine_weekly_intake.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_fortified_wine_weekly_intake.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
frailty_fi49	frailty_fi49	frailty_multimorbidity	SSTAT_BingJing/sstat_FS_All_moda_total_frailty_fi49.linear	sstat_FS_All_moda_total_frailty_fi49.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_frailty_fi49.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
frailty_missing_count	frailty_missing_count	frailty_multimorbidity	SSTAT_BingJing/sstat_FS_All_moda_total_frailty_missing_count.linear	sstat_FS_All_moda_total_frailty_missing_count.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_frailty_missing_count.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
hrt_ever_used	hrt_ever_used	hormonal_sex_specific	SSTAT_BingJing/sstat_FS_All_moda_total_hrt_ever_used.linear	sstat_FS_All_moda_total_hrt_ever_used.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_hrt_ever_used.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
htn_i10_preimg	htn_i10_preimg	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_htn_i10_preimg.linear	sstat_FS_All_moda_total_htn_i10_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_htn_i10_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
hyperCholesterolemia	hyperCholesterolemia	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_hyperCholesterolemia.linear	sstat_FS_All_moda_total_hyperCholesterolemia.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_hyperCholesterolemia.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
hyperTension	hyperTension	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_hyperTension.linear	sstat_FS_All_moda_total_hyperTension.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_hyperTension.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
imd_england	imd_england	social_socioeconomic	SSTAT_BingJing/sstat_FS_All_moda_total_imd_england.linear	sstat_FS_All_moda_total_imd_england.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_imd_england.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
income_before_tax	income_before_tax	social_socioeconomic	SSTAT_BingJing/sstat_FS_All_moda_total_income_before_tax.linear	sstat_FS_All_moda_total_income_before_tax.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_income_before_tax.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
infect_any_ever	infect_any_ever	infection_inflammatory	SSTAT_BingJing/sstat_FS_All_moda_total_infect_any_ever.linear	sstat_FS_All_moda_total_infect_any_ever.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_infect_any_ever.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
infect_count_5y	infect_count_5y	infection_inflammatory	SSTAT_BingJing/sstat_FS_All_moda_total_infect_count_5y.linear	sstat_FS_All_moda_total_infect_count_5y.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_infect_count_5y.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
infect_count_total	infect_count_total	infection_inflammatory	SSTAT_BingJing/sstat_FS_All_moda_total_infect_count_total.linear	sstat_FS_All_moda_total_infect_count_total.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_infect_count_total.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
infect_recency_days	infect_recency_days	infection_inflammatory	SSTAT_BingJing/sstat_FS_All_moda_total_infect_recency_days.linear	sstat_FS_All_moda_total_infect_recency_days.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_infect_recency_days.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
insomnia	insomnia	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_insomnia.linear	sstat_FS_All_moda_total_insomnia.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_insomnia.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
ldl_direct	ldl_direct	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_ldl_direct.linear	sstat_FS_All_moda_total_ldl_direct.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_ldl_direct.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
leisure_social_score	leisure_social_score	social_socioeconomic	SSTAT_BingJing/sstat_FS_All_moda_total_leisure_social_score.linear	sstat_FS_All_moda_total_leisure_social_score.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_leisure_social_score.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
loneliness_isolation	loneliness_isolation	social_socioeconomic	SSTAT_BingJing/sstat_FS_All_moda_total_loneliness_isolation.linear	sstat_FS_All_moda_total_loneliness_isolation.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_loneliness_isolation.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
lrti_ever	lrti_ever	infection_inflammatory	SSTAT_BingJing/sstat_FS_All_moda_total_lrti_ever.linear	sstat_FS_All_moda_total_lrti_ever.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_lrti_ever.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
majorDepression	majorDepression	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_majorDepression.linear	sstat_FS_All_moda_total_majorDepression.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_majorDepression.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
mdd_broad_preimg	mdd_broad_preimg	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_mdd_broad_preimg.linear	sstat_FS_All_moda_total_mdd_broad_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_mdd_broad_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
med_20003_n_distinct_i2	med_20003_n_distinct_i2	frailty_multimorbidity	SSTAT_BingJing/sstat_FS_All_moda_total_med_20003_n_distinct_i2.linear	sstat_FS_All_moda_total_med_20003_n_distinct_i2.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_med_20003_n_distinct_i2.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
multimorbidity	multimorbidity	frailty_multimorbidity	SSTAT_BingJing/sstat_FS_All_moda_total_multimorbidity.linear	sstat_FS_All_moda_total_multimorbidity.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_multimorbidity.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
other_alcohol_weekly_intake	other_alcohol_weekly_intake	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_other_alcohol_weekly_intake.linear	sstat_FS_All_moda_total_other_alcohol_weekly_intake.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_other_alcohol_weekly_intake.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
pa_light_time	pa_light_time	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_pa_light_time.linear	sstat_FS_All_moda_total_pa_light_time.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_pa_light_time.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
pa_moderate_days_10min	pa_moderate_days_10min	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_pa_moderate_days_10min.linear	sstat_FS_All_moda_total_pa_moderate_days_10min.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_pa_moderate_days_10min.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
pa_moderate_duration	pa_moderate_duration	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_pa_moderate_duration.linear	sstat_FS_All_moda_total_pa_moderate_duration.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_pa_moderate_duration.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
pa_moderate_duration_pilot	pa_moderate_duration_pilot	exclude_candidate	SSTAT_BingJing/sstat_FS_All_moda_total_pa_moderate_duration_pilot.linear	sstat_FS_All_moda_total_pa_moderate_duration_pilot.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_pa_moderate_duration_pilot.Probe.linear	NMISS	false	true	true	false	excluded from default batch
pa_moderate_time	pa_moderate_time	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_pa_moderate_time.linear	sstat_FS_All_moda_total_pa_moderate_time.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_pa_moderate_time.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
pa_vigorous_days_10min	pa_vigorous_days_10min	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_pa_vigorous_days_10min.linear	sstat_FS_All_moda_total_pa_vigorous_days_10min.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_pa_vigorous_days_10min.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
pa_vigorous_time	pa_vigorous_time	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_pa_vigorous_time.linear	sstat_FS_All_moda_total_pa_vigorous_time.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_pa_vigorous_time.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
pa_walk_days_10min	pa_walk_days_10min	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_pa_walk_days_10min.linear	sstat_FS_All_moda_total_pa_walk_days_10min.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_pa_walk_days_10min.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
pack_years	pack_years	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_pack_years.linear	sstat_FS_All_moda_total_pack_years.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_pack_years.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
pack_years_adult_prop	pack_years_adult_prop	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_pack_years_adult_prop.linear	sstat_FS_All_moda_total_pack_years_adult_prop.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_pack_years_adult_prop.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
periodontal_k05_preimg	periodontal_k05_preimg	infection_inflammatory	SSTAT_BingJing/sstat_FS_All_moda_total_periodontal_k05_preimg.linear	sstat_FS_All_moda_total_periodontal_k05_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_periodontal_k05_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
phobAnx	phobAnx	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_phobAnx.linear	sstat_FS_All_moda_total_phobAnx.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_phobAnx.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
pneumonia_ever	pneumonia_ever	infection_inflammatory	SSTAT_BingJing/sstat_FS_All_moda_total_pneumonia_ever.linear	sstat_FS_All_moda_total_pneumonia_ever.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_pneumonia_ever.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
psy_any_broad_preimg	psy_any_broad_preimg	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_psy_any_broad_preimg.linear	sstat_FS_All_moda_total_psy_any_broad_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_psy_any_broad_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
psy_any_strict_preimg	psy_any_strict_preimg	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_psy_any_strict_preimg.linear	sstat_FS_All_moda_total_psy_any_strict_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_psy_any_strict_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
psy_clean_ctrl_mask	psy_clean_ctrl_mask	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_psy_clean_ctrl_mask.linear	sstat_FS_All_moda_total_psy_clean_ctrl_mask.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_psy_clean_ctrl_mask.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
ptsd_broad_preimg	ptsd_broad_preimg	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_ptsd_broad_preimg.linear	sstat_FS_All_moda_total_ptsd_broad_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_ptsd_broad_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
red_wine_weekly_intake	red_wine_weekly_intake	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_red_wine_weekly_intake.linear	sstat_FS_All_moda_total_red_wine_weekly_intake.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_red_wine_weekly_intake.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
scz_broad_preimg	scz_broad_preimg	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_scz_broad_preimg.linear	sstat_FS_All_moda_total_scz_broad_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_scz_broad_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
sepsis_ever	sepsis_ever	infection_inflammatory	SSTAT_BingJing/sstat_FS_All_moda_total_sepsis_ever.linear	sstat_FS_All_moda_total_sepsis_ever.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_sepsis_ever.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
sex	sex	exclude_candidate	SSTAT_BingJing/sstat_FS_All_moda_total_sex.linear	sstat_FS_All_moda_total_sex.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_sex.Probe.linear	NMISS	false	true	true	false	excluded from default batch
sleep_duration	sleep_duration	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_sleep_duration.linear	sstat_FS_All_moda_total_sleep_duration.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_sleep_duration.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
smoking_ever	smoking_ever	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_smoking_ever.linear	sstat_FS_All_moda_total_smoking_ever.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_smoking_ever.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
spirits_weekly_intake	spirits_weekly_intake	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_spirits_weekly_intake.linear	sstat_FS_All_moda_total_spirits_weekly_intake.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_spirits_weekly_intake.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
ssti_ever	ssti_ever	infection_inflammatory	SSTAT_BingJing/sstat_FS_All_moda_total_ssti_ever.linear	sstat_FS_All_moda_total_ssti_ever.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_ssti_ever.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
stroke	stroke	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_stroke.linear	sstat_FS_All_moda_total_stroke.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_stroke.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
t2d_e11_preimg	t2d_e11_preimg	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_t2d_e11_preimg.linear	sstat_FS_All_moda_total_t2d_e11_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_t2d_e11_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
uti_ever	uti_ever	infection_inflammatory	SSTAT_BingJing/sstat_FS_All_moda_total_uti_ever.linear	sstat_FS_All_moda_total_uti_ever.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_uti_ever.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
white_wine_weekly_intake	white_wine_weekly_intake	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_white_wine_weekly_intake.linear	sstat_FS_All_moda_total_white_wine_weekly_intake.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_white_wine_weekly_intake.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
